est,learning_rate,max_depth,quality
8,0.001,5,0.5484875380585019
8,0.001,6,0.5484812116181045
8,0.001,7,0.548458217185367
8,0.001,8,0.5484354607879415
8,0.001,9,0.5484258359856206
8,0.001,10,0.5484126778458925
8,0.001,15,0.5484150755837663
8,0.001,20,0.5483648376861846
8,0.001,25,0.548389463874467
8,0.001,30,0.548385133568062
8,0.001,35,0.5483482062064209
8,0.001,40,0.5483604485573573
8,0.001,45,0.5483633960130104
8,0.001,50,0.5483555204925009
8,0.001,60,0.5483497017562042
8,0.001,70,0.5483497017562042
8,0.001,80,0.5483497017562042
8,0.001,90,0.5483497017562042
8,0.001,100,0.5483497017562042
8,0.001,110,0.5483497017562042
8,0.001,120,0.5483497017562042
8,0.001,130,0.5483497017562042
8,0.001,140,0.5483497017562042
9,0.001,1,0.5484237392819723
9,0.001,2,0.5484132042042008
9,0.001,3,0.5484061345546941
9,0.001,4,0.5483802660048274
9,0.001,5,0.5483649553845956
9,0.001,6,0.5483566476421706
9,0.001,7,0.548331377495847
9,0.001,8,0.5483102652102164
9,0.001,9,0.5482969905371291
9,0.001,10,0.5482816226323541
9,0.001,15,0.5482882722921256
9,0.001,20,0.5482332382281229
9,0.001,25,0.5482531208014795
9,0.001,30,0.5482550658875076
9,0.001,35,0.548212987289099
9,0.001,40,0.5482235665293288
9,0.001,45,0.5482277456987119
9,0.001,50,0.5482181398555757
9,0.001,60,0.5482117475016147
9,0.001,70,0.5482117475016147
9,0.001,80,0.5482117475016147
9,0.001,90,0.5482117475016147
9,0.001,100,0.5482117475016147
9,0.001,110,0.5482117475016147
9,0.001,120,0.5482117475016147
9,0.001,130,0.5482117475016147
9,0.001,140,0.5482117475016147
10,0.001,1,0.5483092472710863
10,0.001,2,0.5482975474741534
10,0.001,3,0.5482898278758213
10,0.001,4,0.5482598846974325
10,0.001,5,0.5482419017268347
10,0.001,6,0.5482348303080296
10,0.001,7,0.5482062448493501
10,0.001,8,0.5481844411611709
10,0.001,9,0.5481692462131876
10,0.001,10,0.5481525414996871
10,0.001,15,0.5481617333764267
10,0.001,20,0.5480990668218629
10,0.001,25,0.548113516050458
10,0.001,30,0.5481240837250665
10,0.001,35,0.5480739523565642
10,0.001,40,0.5480843531809797
10,0.001,45,0.5480899974252147
10,0.001,50,0.5480770119792849
